"Timestamp","Age Group","Current Employment Status","Monthly Household Income","Current Housing Situation","Location (State you currently reside in):","How familiar are you with Malaysia's affordable housing policies (e.g., PR1MA, RUMAWIP, PPA1M)?","Where do you usually get your information about housing policies?","Have you ever applied for any affordable housing scheme in Malaysia?","If yes, how would you rate your experience?","What challenges have you faced (or expect to face) when trying to access affordable housing? (Select all that apply)","How would you describe your overall sentiment towards affordable housing policies in Malaysia?","In your opinion, what is the biggest weakness in Malaysia’s current affordable housing policies?","What improvements would you like to see in future housing policies?","Would you be open to participating in community discussions or polls on housing-related issues via this platform?"
"2025/05/06 4:48:47 pm GMT+8","25-34","Employed (Full-time)","RM5,001 - RM8,000","Renting","Kuala Lumpur","Very familiar","News portals","No","3","Lack of transparency;Limited units available;Poor location/accessibility;Quality concerns","3","Price is still high, not so affordable","Revisits the pricing for affordable housing scheme","Yes"
"2025/05/06 4:49:13 pm GMT+8","25-34","Employed (Full-time)","RM2,501 - RM5,000","Living with family","Kuala Lumpur","Somewhat familiar","News portals","No","","Complicated application process;Lack of transparency;Quality concerns","4","Some of the project gets postponed ","More transparency towards applicants ","Maybe"
"2025/05/06 4:49:56 pm GMT+8","25-34","Employed (Full-time)","RM5,001 - RM8,000","Renting","Selangor","Very familiar","Social media","Yes","3","Complicated application process;Lack of transparency;Limited units available;Poor location/accessibility;Quality concerns;Inadequate financial assistance","3","Lack of information","Proper site. Proper service. Everything","Yes"
"2025/05/06 4:54:02 pm GMT+8","25-34","Employed (Full-time)","Below RM2,500","Renting","Selangor","Heard of them but don't know much","Friends/family","No","","Poor location/accessibility;Quality concerns;Inadequate financial assistance;Not eligible due to income/criteria","3","mismatch between housing supply and actual demand, especially in terms of location and income levels.","Expand and simplify rent-to-own options for B40 and M40 groups to increase accessibility to homeownership without heavy upfront costs.","No"
"2025/05/06 4:54:39 pm GMT+8","25-34","Employed (Full-time)","RM2,501 - RM5,000","Own a home (fully paid)","Negeri Sembilan","Somewhat familiar","Social media","No","","Limited units available;Poor location/accessibility;Inadequate financial assistance","3","Suitability for all income groups ","More studies and industrial engagement conducted on such policies ","Yes"
"2025/05/06 5:01:02 pm GMT+8","25-34","Employed (Part-time)","Below RM2,500","Renting","Selangor","Very familiar","News portals","No","","Complicated application process;Poor location/accessibility;Not eligible due to income/criteria","3","Location and accessibility to public","Public accessibility ","Yes"
"2025/05/06 5:03:05 pm GMT+8","25-34","Employed (Full-time)","RM2,501 - RM5,000","Renting","Kuala Lumpur","Very familiar","Government websites","No","","Limited units available;Poor location/accessibility;Quality concerns","2","For me, the biggest issue is that a lot of “affordable” homes aren’t actually affordable or practical for the people who need them most. They’re either too far from work, not connected to public transport, or still out of budget for B40 groups. Especially youths who barely make ends meet.","I’d love to see housing policies that are more in touch with real needs—better locations, more rental options, and simpler systems to apply. Homes should be liveable, not just built for the sake of numbers.","Yes"
"2025/05/06 5:05:27 pm GMT+8","25-34","Employed (Full-time)","RM2,501 - RM5,000","Renting","Kuala Lumpur","Heard of them but don't know much","Social media","No","","Complicated application process;Lack of transparency;Limited units available;Poor location/accessibility;Quality concerns;Inadequate financial assistance;Not eligible due to income/criteria","3","Still not affordable","Make it more affordable","Yes"
"2025/05/06 5:05:29 pm GMT+8","25-34","Employed (Full-time)","RM2,501 - RM5,000","Living with family","Selangor","Somewhat familiar","Friends/family","No","","Limited units available;Inadequate financial assistance;Not eligible due to income/criteria","2","There are many advertisements about this scheme but there is no house available ","Make house price more cheap and and reasonable prices","Maybe"
"2025/05/06 5:07:50 pm GMT+8","25-34","Employed (Full-time)","Below RM2,500","Living with family","Kuala Lumpur","Somewhat familiar","Friends/family","No","","Complicated application process;Limited units available","3","Too many rules and fees make building affordable homes costly, so prices go up. Also, many houses are built where people don't want to live, so they stay empty.","Build affordable homes where people actually work and live, not in remote areas. Cut the red tape and extra fees so developers can build cheaper. Also, offer better financing options like rent-to-own to help more people buy homes.","Maybe"
"2025/05/06 5:09:06 pm GMT+8","25-34","Employed (Full-time)","RM5,001 - RM8,000","Renting","Selangor","Somewhat familiar","Social media","No","","Complicated application process;Lack of transparency;Poor location/accessibility;Quality concerns;Not eligible due to income/criteria","3","Long procedures and how agents can manipulate the pricings. Most of it time consuming and also need to spend more money just for the procedure alone.","Easier process yet effective. Giving documents is easier when the flow is systematic enough. And stricter law needed for the agent charges.","Yes"
"2025/05/06 5:09:29 pm GMT+8","18-24","Employed (Full-time)","RM2,501 - RM5,000","Living with family","Selangor","Heard of them but don't know much","Social media","No","","Complicated application process;Lack of transparency;Limited units available;Poor location/accessibility;Quality concerns;Not eligible due to income/criteria","3","Insufficient Information and Market Analysis","Increased access to housing loans and enhancements in financing options are needed to make homeownership a realistic possibility for the people","Yes"
"2025/05/06 5:24:01 pm GMT+8","18-24","Employed (Full-time)","RM2,501 - RM5,000","Living with family","Selangor","Very familiar","News portals","No","","Complicated application process;Lack of transparency;Poor location/accessibility;Inadequate financial assistance","4","Location","The location of the house need to be all access to badic needs","Maybe"
"2025/05/06 5:25:00 pm GMT+8","25-34","Employed (Full-time)","RM2,501 - RM5,000","Renting","Selangor","Heard of them but don't know much","Friends/family","No","","Limited units available;Poor location/accessibility;Quality concerns","3","many affordable housing units located in a less strategic or remote locations","prioritized development in urban centers with integrated access to public transportation and essential services","Maybe"
"2025/05/06 5:25:51 pm GMT+8","25-34","Employed (Full-time)","RM2,501 - RM5,000","Living with family","Johor","Very familiar","Social media","No","","Complicated application process","3","Price","Price ","Maybe"
"2025/05/06 5:45:38 pm GMT+8","25-34","Employed (Full-time)","RM2,501 - RM5,000","Living with family","Johor","Somewhat familiar","Social media","Yes","4","Limited units available;Poor location/accessibility","5","Limited units","Increase units","Maybe"
